               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  92,            0.034737,            0.020065,           0.0013204,             0.82423,             0.81303,             0.80765,             0.41718,            0.046459,            0.013176,           0.0010942,           0.0029617,           0.0029617,           0.0029617
                  93,            0.034319,            0.020587,           0.0013175,             0.79478,             0.74248,             0.75018,             0.41115,            0.047538,            0.013288,           0.0011377,           0.0028844,           0.0028844,           0.0028844
                  94,            0.035219,            0.021651,           0.0016686,             0.79328,             0.76012,             0.77214,             0.42711,            0.047162,            0.013306,            0.001136,            0.002807,            0.002807,            0.002807
                  95,            0.033522,            0.020267,           0.0014334,             0.76775,             0.78629,             0.75957,             0.42706,            0.048076,            0.013344,           0.0011539,           0.0027297,           0.0027297,           0.0027297
                  96,            0.033175,            0.018089,           0.0018626,             0.78679,             0.77587,             0.75451,             0.43151,            0.045809,            0.013184,           0.0011912,           0.0026523,           0.0026523,           0.0026523
                  97,            0.033716,            0.022605,            0.001444,             0.80157,             0.74366,             0.75898,             0.42728,            0.046979,            0.013115,           0.0011732,            0.002575,            0.002575,            0.002575
                  98,            0.035696,            0.019909,           0.0014613,             0.81716,              0.7641,              0.7981,             0.43693,            0.046258,            0.012856,           0.0011882,           0.0024977,           0.0024977,           0.0024977
                  99,            0.032228,             0.01994,           0.0014116,             0.82465,             0.78816,              0.7623,             0.43642,            0.045947,            0.013002,           0.0011793,           0.0024203,           0.0024203,           0.0024203
                 100,             0.03427,            0.020715,           0.0016308,             0.82454,             0.76233,             0.76473,             0.42765,             0.04615,            0.012856,           0.0011986,            0.002343,            0.002343,            0.002343
                 101,            0.033448,            0.018221,           0.0014064,              0.7514,             0.76101,             0.75413,             0.44265,             0.04589,            0.012997,           0.0012228,           0.0022656,           0.0022656,           0.0022656
                 102,            0.033268,            0.020942,           0.0018527,             0.79493,              0.7536,             0.72618,             0.42669,            0.046636,            0.013081,           0.0012053,           0.0021883,           0.0021883,           0.0021883
                 103,             0.03301,            0.019977,           0.0015273,              0.8016,             0.76478,             0.76366,             0.41655,            0.048416,            0.013603,           0.0012537,           0.0021109,           0.0021109,           0.0021109
                 104,            0.034157,            0.018673,           0.0019563,             0.78784,             0.76386,              0.7448,             0.42714,             0.04568,            0.013298,           0.0011922,           0.0020336,           0.0020336,           0.0020336
                 105,            0.035226,            0.019435,            0.003949,             0.81423,             0.78265,             0.74494,             0.42104,            0.045474,            0.013039,           0.0011248,           0.0019563,           0.0019563,           0.0019563
                 106,             0.03237,            0.018874,           0.0013199,             0.77356,             0.75437,             0.73397,             0.43834,            0.045115,              0.0131,           0.0011633,           0.0018789,           0.0018789,           0.0018789
                 107,            0.032074,             0.02028,           0.0020855,             0.83239,             0.80746,             0.78578,             0.43693,            0.044479,            0.012835,           0.0011285,           0.0018016,           0.0018016,           0.0018016
                 108,             0.03361,             0.02103,           0.0020029,             0.79917,             0.76512,             0.75176,             0.43365,             0.04529,            0.013065,           0.0010803,           0.0017242,           0.0017242,           0.0017242
                 109,            0.031409,            0.019093,           0.0017812,             0.84876,             0.82863,             0.80558,             0.44248,            0.044585,            0.012972,           0.0010863,           0.0016469,           0.0016469,           0.0016469
                 110,            0.031351,            0.019298,           0.0012288,             0.81422,             0.81788,              0.7856,             0.44196,            0.044242,            0.012928,           0.0010787,           0.0015695,           0.0015695,           0.0015695
                 111,            0.036354,            0.019054,           0.0015531,             0.83455,              0.8086,              0.7982,             0.44778,            0.044349,            0.012831,            0.001067,           0.0014922,           0.0014922,           0.0014922
                 112,            0.033429,            0.017128,           0.0014129,              0.7844,              0.7836,             0.75212,             0.44097,            0.044857,            0.013134,           0.0010955,           0.0014148,           0.0014148,           0.0014148
                 113,            0.029507,            0.016816,           0.0034204,             0.80584,             0.79392,             0.75722,             0.43829,            0.044426,            0.012833,          0.00099106,           0.0013375,           0.0013375,           0.0013375
                 114,            0.028473,            0.020251,           0.0018255,             0.81637,             0.80831,             0.78259,              0.4451,            0.044536,            0.012947,          0.00099263,           0.0012602,           0.0012602,           0.0012602
                 115,            0.029387,            0.019519,           0.0015657,             0.83366,             0.81461,             0.78443,             0.44254,            0.044614,            0.012939,          0.00098319,           0.0011828,           0.0011828,           0.0011828
